id,correlation,n_items,capacity,greedy_profit,dp_profit,gap,greedy_time,dp_time,best_algorithm
213,strong,50,1023,2352,2389,0.015487651737128506,7.799995364621282e-05,0.03310900001088157,dp
214,inverse,100,719,4082,4086,0.0009789525208027412,0.00011069996980950236,0.04786450002575293,dp
215,weak,100,2902,4913,4938,0.005062778452814905,0.00010819995077326894,0.18458890001056716,dp
216,strong,100,2189,5117,5121,0.0007810974419058778,0.0001132000470533967,0.13968490000115708,dp
217,weak,50,385,853,853,0.0,7.27999722585082e-05,0.010698299971409142,dp
218,uncorrelated,200,6219,8834,8840,0.0006787330316742081,0.00016689999029040337,0.8078326999675483,dp
219,weak,100,1957,3482,3485,0.000860832137733142,0.00011049996828660369,0.12277529999846593,dp
220,inverse,100,3512,6083,6083,0.0,0.00012139999307692051,0.22536149999359623,dp
221,strong,200,7520,16825,16858,0.00195752758334322,0.00016170000890269876,1.0252725000027567,dp
222,uncorrelated,50,1357,2393,2393,0.0,8.909997995942831e-05,0.045358499977737665,dp
223,inverse,50,2099,3094,3094,0.0,8.9899986051023e-05,0.06660520000150427,dp
224,weak,100,4543,7022,7049,0.003830330543339481,0.00012089998926967382,0.29414910002378747,dp
225,strong,200,7666,17206,17214,0.000464738003950273,0.00019419996533542871,1.0103114999947138,dp
226,inverse,50,1960,2829,2829,0.0,8.589995559304953e-05,0.061587399977725,dp
227,inverse,50,422,1704,1710,0.0035087719298245615,8.09000339359045e-05,0.011960200034081936,dp
228,inverse,50,1516,2971,2973,0.0006727211570803902,6.629998097196221e-05,0.0479361999896355,dp
229,weak,50,2263,3358,3361,0.0008925914906277894,7.770000956952572e-05,0.07704369997372851,dp
230,weak,50,975,1807,1811,0.0022087244616234127,8.47000046633184e-05,0.03296829998726025,dp
231,inverse,200,2440,7756,7770,0.0018018018018018018,0.00014560000272467732,0.3201112999813631,dp
232,uncorrelated,50,983,1842,1847,0.0027070925825663237,7.810001261532307e-05,0.03149700001813471,dp
233,weak,100,1884,3559,3567,0.00224278104850014,0.00010919995838776231,0.12057229998754337,dp
234,uncorrelated,50,648,1605,1620,0.009259259259259259,8.52999510243535e-05,0.019988799991551787,dp
235,uncorrelated,50,410,1187,1187,0.0,6.769999163225293e-05,0.011889499961398542,dp
236,weak,50,1623,2838,2851,0.004559803577692038,5.299999611452222e-05,0.05216259998269379,dp
237,strong,200,3235,7689,7702,0.0016878732796676188,0.00014919997192919254,0.4237385999877006,dp
238,weak,50,1249,2247,2279,0.014041246160596753,7.919996278360486e-05,0.03891449997900054,dp
239,inverse,100,1081,3947,3950,0.0007594936708860759,9.489996591582894e-05,0.06678789999568835,dp
240,strong,100,3915,8739,8747,0.0009145992911855493,0.0001050999853760004,0.25554209999972954,dp
241,inverse,50,594,1967,1969,0.001015744032503809,0.0001194999786093831,0.01729639997938648,dp
242,weak,50,1755,2817,2853,0.012618296529968454,7.049995474517345e-05,0.05542059999424964,dp
243,inverse,50,1734,3062,3062,0.0,7.720000576227903e-05,0.0546934999874793,dp
244,strong,50,1936,4350,4397,0.010689106208778713,9.360001422464848e-05,0.06341230001999065,dp
245,uncorrelated,200,5224,7935,7936,0.00012600806451612903,0.00018889998318627477,0.6799313999945298,dp
246,strong,100,1947,4551,4604,0.011511728931364032,0.00011040002573281527,0.12539550004294142,dp
247,uncorrelated,100,838,2179,2183,0.0018323408153916628,9.960000170394778e-05,0.05211680004140362,dp
248,uncorrelated,50,1089,1924,1924,0.0,0.00011520000407472253,0.034624500025529414,dp
249,inverse,50,2239,2771,2771,0.0,7.110001752153039e-05,0.07347519998438656,dp
250,inverse,50,2223,2704,2704,0.0,8.289999095723033e-05,0.07002970000030473,dp
251,uncorrelated,50,1999,2288,2290,0.0008733624454148472,8.029997115954757e-05,0.0645037000067532,dp
252,inverse,100,2132,5240,5244,0.0007627765064836003,0.0001010000123642385,0.13721380004426464,dp
253,weak,50,624,1322,1322,0.0,7.109995931386948e-05,0.018886399979237467,dp
254,uncorrelated,50,1034,1854,1858,0.002152852529601722,6.429996574297547e-05,0.032425799989141524,dp
255,inverse,200,4471,9822,9862,0.004055972419387548,0.0001610000035725534,0.590660099987872,dp
256,weak,50,959,1783,1801,0.009994447529150472,0.00018289999570697546,0.02983049995964393,dp
257,inverse,50,2218,2759,2759,0.0,8.269998943433166e-05,0.07348029996501282,dp
258,inverse,50,352,1768,1768,0.0,7.459998596459627e-05,0.009592499991413206,dp
259,inverse,100,1428,4087,4087,0.0,9.119999594986439e-05,0.0897094999672845,dp
260,weak,100,3765,6047,6050,0.0004958677685950413,0.00011299998732283711,0.2494917999720201,dp
261,inverse,50,2343,2838,2838,0.0,8.460000390186906e-05,0.07452749996446073,dp
262,strong,50,1357,3116,3146,0.009535918626827717,0.00010799994925037026,0.04333690000930801,dp
263,strong,50,1882,4220,4242,0.005186232909005186,7.880001794546843e-05,0.059632400050759315,dp
264,strong,100,1587,3821,3828,0.0018286311389759666,0.00010000000474974513,0.09855890000471845,dp
265,weak,50,1817,3033,3041,0.0026307135810588623,7.960002403706312e-05,0.057266200019512326,dp
266,weak,50,1361,2614,2614,0.0,8.710002293810248e-05,0.04292780003743246,dp
267,uncorrelated,100,3226,4640,4653,0.0027938964109176876,0.00011209998046979308,0.21202989999437705,dp
268,strong,100,1554,3662,3672,0.0027233115468409588,0.0001278999843634665,0.098974599968642,dp
269,inverse,100,1259,4184,4184,0.0,0.00010990002192556858,0.07860620005521923,dp
270,strong,100,2430,5712,5712,0.0,0.00011399999493733048,0.15402269997866824,dp
271,weak,200,2325,5417,5417,0.0,0.00015549996169283986,0.300234200025443,dp
272,inverse,200,8057,11590,11590,0.0,0.00019480002811178565,1.0637184999650344,dp
273,inverse,50,1878,3070,3070,0.0,0.0001010000123642385,0.05862580001121387,dp
274,strong,50,1543,3479,3494,0.004293073840870063,8.259998867288232e-05,0.04841280000982806,dp
275,uncorrelated,100,4495,5357,5357,0.0,0.00011000002268701792,0.29111030005151406,dp
276,inverse,50,908,2398,2398,0.0,8.3099992480129e-05,0.029275799985043705,dp
277,strong,50,1563,3537,3544,0.0019751693002257337,8.120003622025251e-05,0.05077710002660751,dp
278,uncorrelated,200,1736,4587,4587,0.0,0.00015109998639672995,0.22336259996518493,dp
279,weak,50,1222,2230,2240,0.004464285714285714,8.230004459619522e-05,0.03746090002823621,dp
280,weak,50,2036,3202,3228,0.0080545229244114,7.24999699741602e-05,0.06449389999033883,dp
281,uncorrelated,50,2567,2554,2554,0.0,8.289999095723033e-05,0.08249760000035167,dp
282,inverse,100,1867,5111,5111,0.0,0.00012260000221431255,0.12074240000220016,dp
283,inverse,100,2687,5003,5005,0.0003996003996003996,0.00011059996904805303,0.17349479999393225,dp
284,strong,50,1289,2948,2969,0.007073088582014146,8.50000069476664e-05,0.04461300000548363,dp
285,strong,50,1774,4033,4047,0.003459352606869286,8.600001456215978e-05,0.0607991999713704,dp
286,strong,50,2495,5462,5533,0.012832098319175854,7.939996430650353e-05,0.08221429999684915,dp
287,uncorrelated,200,2146,5497,5503,0.0010903143739778303,0.00014179997378960252,0.27967109996825457,dp
288,weak,50,2054,3265,3273,0.002444240757714635,8.709996473044157e-05,0.06684829998994246,dp
289,uncorrelated,50,1686,2477,2477,0.0,0.0001542000100016594,0.05483899998944253,dp
